Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,60,0.22,5000,10.1016/j.envpol.2020.114227,12|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,22.8,0.79,47.14,0.16,9.9
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,13|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,25,0.22,5000,10.1016/j.envpol.2020.114227,14|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,9.5,0.79,19.64,0.16,4.12
drinkingwater,22,0.22,5000,10.1016/j.envpol.2020.114227,15|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,8.36,0.79,17.29,0.16,3.63
drinkingwater,15,0.22,5000,10.1016/j.envpol.2020.114227,16|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.7,0.79,11.79,0.16,2.47
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,17|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,37,0.22,5000,10.1016/j.envpol.2020.114227,18|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,14.06,0.79,29.07,0.16,6.1
drinkingwater,9,0.22,5000,10.1016/j.envpol.2020.114227,19|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.42,0.79,7.07,0.16,1.48
drinkingwater,6,0.22,5000,10.1016/j.envpol.2020.114227,20|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.28,0.79,4.71,0.16,0.99
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,21|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,22|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,14,0.22,5000,10.1016/j.envpol.2020.114227,23|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.32,0.79,11,0.16,2.31
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,24|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,25|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,26|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,27|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,28|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,6,0.22,5000,10.1016/j.envpol.2020.114227,29|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.28,0.79,4.71,0.16,0.99
drinkingwater,10,0.22,5000,10.1016/j.envpol.2020.114227,30|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.8,0.79,7.86,0.16,1.65
drinkingwater,23,0.22,5000,10.1016/j.envpol.2020.114227,31|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,8.74,0.79,18.07,0.16,3.79
drinkingwater,15,0.22,5000,10.1016/j.envpol.2020.114227,32|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.7,0.79,11.79,0.16,2.47
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,33|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,9,0.22,5000,10.1016/j.envpol.2020.114227,34|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.42,0.79,7.07,0.16,1.48
drinkingwater,10,0.22,5000,10.1016/j.envpol.2020.114227,35|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.8,0.79,7.86,0.16,1.65
drinkingwater,28,0.22,5000,10.1016/j.envpol.2020.114227,36|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,10.64,0.79,22,0.16,4.62
drinkingwater,5,0.22,5000,10.1016/j.envpol.2020.114227,37|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,1.9,0.79,3.93,0.16,0.82
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,38|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,10,0.22,5000,10.1016/j.envpol.2020.114227,39|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.8,0.79,7.86,0.16,1.65
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,40|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,41|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,91,0.22,5000,10.1016/j.envpol.2020.114227,42|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,34.58,0.79,71.5,0.16,15.01
drinkingwater,930,0.22,5000,10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,N/A,1.09,1.64,2.19,0.38,353.4,0.79,730.74,0.16,153.44
drinkingwater,10,0.4,5000,10.1016/j.jwpe.2020.101884,Lao Shann|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,5.6,0.86,8.62,0.34,3.36
