DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,PEST,PE,PP,PA,PE_PS,PS,CA,PVC,ER,PAM,PET,PlasticAdditive,PBT,PU,PET_PEST,PAN,Silicone,Acrylic,Vinyl,Vinyon,Other,PA_ER,PTT,PE_PP,PPS,Rayon,PAA,PMPS,PI,Olefin,Styrene_Butadiene,PBA,PMMA,Cellophane,SAN,PC,PDMS,PLA,PTFE,SBR,PET_Olefin,PES,ABS,LDPE,PEVA,AR,PVA,PPE
10.1016/j.scitotenv.2021.150545,B_BioTreatment|10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON|10.1016/j.scitotenv.2021.150545,tap water,2030,particles/L,2030,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Sedimentation|10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA|10.1016/j.scitotenv.2021.150545,tap water,451.3,particles/L,451.3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Sedimentation|10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL|10.1016/j.scitotenv.2021.150545,tap water,1042,particles/L,1042,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Sedimentation|10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON|10.1016/j.scitotenv.2021.150545,tap water,504.1,particles/L,504.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Ozonation|10.1016/j.scitotenv.2021.150545,B_Ozonation_PA|10.1016/j.scitotenv.2021.150545,tap water,300,particles/L,300,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Ozonation|10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL|10.1016/j.scitotenv.2021.150545,tap water,252,particles/L,252,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Ozonation|10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON|10.1016/j.scitotenv.2021.150545,tap water,552.4,particles/L,552.4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_BAC|10.1016/j.scitotenv.2021.150545,B_BAC_PA|10.1016/j.scitotenv.2021.150545,tap water,413.2,particles/L,413.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_BAC|10.1016/j.scitotenv.2021.150545,B_BAC_VINYL|10.1016/j.scitotenv.2021.150545,tap water,230,particles/L,230,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_BAC|10.1016/j.scitotenv.2021.150545,B_BAC_VINYON|10.1016/j.scitotenv.2021.150545,tap water,232,particles/L,232,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Flocc|10.1016/j.scitotenv.2021.150545,B_Flocc_PA|10.1016/j.scitotenv.2021.150545,tap water,276.4,particles/L,276.4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Flocc|10.1016/j.scitotenv.2021.150545,B_Flocc_VINYL|10.1016/j.scitotenv.2021.150545,tap water,140,particles/L,140,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Flocc|10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON|10.1016/j.scitotenv.2021.150545,tap water,161.5,particles/L,161.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Sand|10.1016/j.scitotenv.2021.150545,B_Sand_PA|10.1016/j.scitotenv.2021.150545,tap water,150.3,particles/L,150.3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Sand|10.1016/j.scitotenv.2021.150545,B_Sand_VINYL|10.1016/j.scitotenv.2021.150545,tap water,130.1,particles/L,130.1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Sand|10.1016/j.scitotenv.2021.150545,B_Sand_VINYON|10.1016/j.scitotenv.2021.150545,tap water,55,particles/L,55,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_Treated|10.1016/j.scitotenv.2021.150545,B_Treated_PA|10.1016/j.scitotenv.2021.150545,tap water,160,particles/L,160,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
