Source,concentration
Drinking Water Corrected,0.2124
Drinking Water Corrected,0.25
Drinking Water Corrected,113.4
Drinking Water Corrected,3.744
Drinking Water Corrected,1106.64
Drinking Water Corrected,0.12
Drinking Water Corrected,953.64
Drinking Water Corrected,1760.04
Drinking Water Corrected,2265.12
Drinking Water Corrected,530.28
Drinking Water Corrected,652.32
Drinking Water Corrected,1297.8
Drinking Water Corrected,158.4
Drinking Water Corrected,2381.04
Drinking Water Corrected,334.8
Drinking Water Corrected,1.01
Drinking Water Corrected,6.12
Drinking Water Corrected,4.32
Drinking Water Corrected,64.8
Drinking Water Corrected,45
Drinking Water Corrected,0
Drinking Water Corrected,89.64
Drinking Water Corrected,313.92
Drinking Water Corrected,89.64
Drinking Water Corrected,134.64
Drinking Water Corrected,179.64
Drinking Water Corrected,89.64
Drinking Water Corrected,179.64
Drinking Water Corrected,134.64
Drinking Water Corrected,89.64
Drinking Water Corrected,89.64
Drinking Water Corrected,89.64
Drinking Water Corrected,134.64
Drinking Water Corrected,269.28
Drinking Water Corrected,134.64
Drinking Water Corrected,448.92
Drinking Water Corrected,224.28
Drinking Water Corrected,179.64
Drinking Water Corrected,134.64
Drinking Water Corrected,45
Drinking Water Corrected,179.64
Drinking Water Corrected,89.64
Drinking Water Corrected,179.64
Drinking Water Corrected,89.64
Drinking Water Corrected,0
