DOI,Sample_ID,Subsample_ID,cleaned_morphology,morphology,morph_ratio,Source,normalized_particle.L_concentration,corrected_concentration,morph_particle.L_reported,morph_particle.L_corrected
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,66.7,86.71,2.001,2.6013
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,67.1,87.23,2.013,2.6169
10.3390/w12113115,drinking_water|10.3390/w12113115,N/A,Nurdle,Nurdle,0.191,drinkingwater,105.8,371.358,20.2078,70.929378
10.1016/j.scitotenv.2021.148001,TCQS|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.4,0.4,0.00144,0.00144
10.1016/j.scitotenv.2021.148001,SHN|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.51,0.51,0.001836,0.001836
10.1016/j.scitotenv.2021.148001,CHQ|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.51,0.51,0.001836,0.001836
10.1016/j.scitotenv.2021.148001,CHH|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.55,0.55,0.00198,0.00198
10.1016/j.scitotenv.2021.148001,ZHB|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.6,0.6,0.00216,0.00216
10.1016/j.scitotenv.2021.148001,DAS|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.605,0.605,0.002178,0.002178
10.1016/j.scitotenv.2021.148001,XHS|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.63,0.63,0.002268,0.002268
10.1016/j.scitotenv.2021.148001,HNZ|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.75,0.75,0.0027,0.0027
10.1016/j.scitotenv.2021.148001,TCH|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.56,0.56,0.002016,0.002016
10.1016/j.scitotenv.2021.148001,WHH|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.6,0.6,0.00216,0.00216
10.1016/j.scitotenv.2021.148001,Spr|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.39,0.39,0.001404,0.001404
10.1016/j.scitotenv.2021.148001,Sum|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.36,0.36,0.001296,0.001296
10.1016/j.scitotenv.2021.148001,Aut|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.75,0.75,0.0027,0.0027
10.1016/j.scitotenv.2021.148001,Win|10.1016/j.scitotenv.2021.148001,N/A,Nurdle,Nurdle,0.0036,drinkingwater,0.54,0.54,0.001944,0.001944
