Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns),Min Concentration (microns3/volume),Concentration (microns3/volume),Max Concentration (microns3/volume),Min Concentration (mg/volume),Concentration (mg/volume),Max Concentration (mg/volume),Alpha,Correction Factor,Corrected Concentration (particles/volume),Max Corrected Concentration (particles/volume),Min Corrected Concentration (particles/volume)
0.007,doi.org/10.1021/acs.est.9b03850 | 10.3,freshwatersurface,355,5000,105361.7562,1722278.335,6215064.358,9.66E-05,0.002087034,0.009752909,2.64,15420.02118,107.9401483,114.4287858,101.8204011
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.1,freshwatersurface,355,5000,82784.23698,1353218.692,4883264.852,7.59E-05,0.001639813,0.007663,2.64,15420.02118,84.81011648,89.90833172,80.00174369
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.2,freshwatersurface,355,5000,82784.23698,1353218.692,4883264.852,7.59E-05,0.001639813,0.007663,2.64,15420.02118,84.81011648,89.90833172,80.00174369
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.3,freshwatersurface,355,5000,82784.23698,1353218.692,4883264.852,7.59E-05,0.001639813,0.007663,2.64,15420.02118,84.81011648,89.90833172,80.00174369
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.4,freshwatersurface,355,5000,82784.23698,1353218.692,4883264.852,7.59E-05,0.001639813,0.007663,2.64,15420.02118,84.81011648,89.90833172,80.00174369
0.0041,doi.org/10.1021/acs.est.9b03850 | 27.1,freshwatersurface,355,5000,61711.88575,1008763.025,3640251.981,5.66E-05,0.001222406,0.005712418,2.64,15420.02118,63.22208683,67.02257456,59.63766348
0.0041,doi.org/10.1021/acs.est.9b03850 | 27.2,freshwatersurface,355,5000,61711.88575,1008763.025,3640251.981,5.66E-05,0.001222406,0.005712418,2.64,15420.02118,63.22208683,67.02257456,59.63766348
0.0041,doi.org/10.1021/acs.est.9b03850 | 27.3,freshwatersurface,355,5000,61711.88575,1008763.025,3640251.981,5.66E-05,0.001222406,0.005712418,2.64,15420.02118,63.22208683,67.02257456,59.63766348
0.004,doi.org/10.1021/acs.est.9b03850 | 13.1,freshwatersurface,355,5000,60206.7178,984159.0485,3551465.347,5.52E-05,0.001192591,0.005573091,2.64,15420.02118,61.68008472,65.38787762,58.18308632
0.004,doi.org/10.1021/acs.est.9b03850 | 13.2,freshwatersurface,355,5000,60206.7178,984159.0485,3551465.347,5.52E-05,0.001192591,0.005573091,2.64,15420.02118,61.68008472,65.38787762,58.18308632
0.004,doi.org/10.1021/acs.est.9b03850 |13.3,freshwatersurface,355,5000,60206.7178,984159.0485,3551465.347,5.52E-05,0.001192591,0.005573091,2.64,15420.02118,61.68008472,65.38787762,58.18308632
0.004,doi.org/10.1021/acs.est.9b03850 | 13.4,freshwatersurface,355,5000,60206.7178,984159.0485,3551465.347,5.52E-05,0.001192591,0.005573091,2.64,15420.02118,61.68008472,65.38787762,58.18308632
